Iteration 1 | train_acc = 50.00000 | train_loss = 16.44509 | Loss1: 6.639 | Loss2: 2.19556 | Loss3: 2.70258 | Loss_ATT: 1.74048 | Loss_concat: 16.44509 |
Iteration 2 | train_acc = 100.00000 | train_loss = 7.51782 | Loss1: 3.683 | Loss2: 1.08409 | Loss3: 1.76231 | Loss_ATT: 0.83638 | Loss_concat: 7.51782 |
Iteration 3 | train_acc = 100.00000 | train_loss = 3.80415 | Loss1: 2.098 | Loss2: 0.63262 | Loss3: 1.06813 | Loss_ATT: 0.39749 | Loss_concat: 3.80415 |
Iteration 1 | train_acc = 53.33333 | train_loss = 16.60130 | Loss1: 6.944 | Loss2: 2.34810 | Loss3: 2.77597 | Loss_ATT: 1.81954 | Loss_concat: 16.60130 |
Iteration 2 | train_acc = 100.00000 | train_loss = 7.18882 | Loss1: 3.367 | Loss2: 0.99772 | Loss3: 1.60883 | Loss_ATT: 0.76014 | Loss_concat: 7.18882 |
Iteration 3 | train_acc = 100.00000 | train_loss = 3.82655 | Loss1: 2.128 | Loss2: 0.64722 | Loss3: 1.11407 | Loss_ATT: 0.36648 | Loss_concat: 3.82655 |
Iteration 1 | train_acc = 66.66667 | train_loss = 15.54079 | Loss1: 6.334 | Loss2: 2.29344 | Loss3: 2.38823 | Loss_ATT: 1.65201 | Loss_concat: 15.54079 |
Iteration 2 | train_acc = 100.00000 | train_loss = 7.24391 | Loss1: 3.285 | Loss2: 1.03217 | Loss3: 1.53157 | Loss_ATT: 0.72122 | Loss_concat: 7.24391 |
Iteration 3 | train_acc = 100.00000 | train_loss = 3.67203 | Loss1: 1.973 | Loss2: 0.64683 | Loss3: 0.99685 | Loss_ATT: 0.32933 | Loss_concat: 3.67203 |
Iteration 4 | train_acc = 100.00000 | train_loss = 2.25359 | Loss1: 1.441 | Loss2: 0.44789 | Loss3: 0.68439 | Loss_ATT: 0.30837 | Loss_concat: 2.25359 |
Iteration 1 | train_acc = 100.00000 | train_loss = 4.68603 | Loss1: 0.160 | Loss2: 0.07828 | Loss3: 0.02145 | Loss_ATT: 0.06075 | Loss_concat: 4.68603 |
Iteration 2 | train_acc = 100.00000 | train_loss = 0.12238 | Loss1: 0.023 | Loss2: 0.00959 | Loss3: 0.01046 | Loss_ATT: 0.00250 | Loss_concat: 0.12238 |
Iteration 1 | train_acc = 96.66667 | train_loss = 3.99499 | Loss1: 0.277 | Loss2: 0.14875 | Loss3: 0.09769 | Loss_ATT: 0.03032 | Loss_concat: 3.99499 |
Iteration 1 | train_acc = 100.00000 | train_loss = 5.30969 | Loss1: 0.394 | Loss2: 0.10817 | Loss3: 0.01259 | Loss_ATT: 0.27364 | Loss_concat: 5.30969 |
Iteration 2 | train_acc = 100.00000 | train_loss = 0.10527 | Loss1: 0.065 | Loss2: 0.01034 | Loss3: 0.04605 | Loss_ATT: 0.00855 | Loss_concat: 0.10527 |
Iteration 3 | train_acc = 100.00000 | train_loss = 0.06267 | Loss1: 0.037 | Loss2: 0.01570 | Loss3: 0.01307 | Loss_ATT: 0.00780 | Loss_concat: 0.06267 |
Iteration 4 | train_acc = 100.00000 | train_loss = 0.02235 | Loss1: 0.012 | Loss2: 0.00343 | Loss3: 0.00547 | Loss_ATT: 0.00272 | Loss_concat: 0.02235 |
Iteration 5 | train_acc = 100.00000 | train_loss = 0.04998 | Loss1: 0.025 | Loss2: 0.00798 | Loss3: 0.01347 | Loss_ATT: 0.00318 | Loss_concat: 0.04998 |
Iteration 6 | train_acc = 100.00000 | train_loss = 0.01347 | Loss1: 0.010 | Loss2: 0.00325 | Loss3: 0.00412 | Loss_ATT: 0.00235 | Loss_concat: 0.01347 |
Iteration 7 | train_acc = 100.00000 | train_loss = 0.01249 | Loss1: 0.008 | Loss2: 0.00413 | Loss3: 0.00264 | Loss_ATT: 0.00129 | Loss_concat: 0.01249 |
